keyword,intent,est_volume,difficulty,notes
timesheet template free,informational,280,40,template
notion crm download,transactional,220,45,download
gantt spreadsheet download,how-to,340,30,download
content brief google docs,informational,160,25,download
invoice template pdf,transactional,160,35,template
statement of work download,how-to,70,50,download
social media calendar download,informational,120,30,download
google docs invoice google docs,transactional,420,45,download
blog outline google docs,how-to,90,40,download
quote template download,informational,70,30,template
lead tracker google docs,transactional,280,30,download
project plan pdf,how-to,420,30,download
copy deck google docs,informational,90,35,download
paypal invoice google docs,transactional,160,35,download
style guide free,how-to,120,45,download
follow up email pdf,informational,420,40,download
lead tracker download,transactional,160,30,download
airtable base export free,how-to,220,30,download
crm spreadsheet download,informational,420,30,download
change request form download,transactional,280,50,download
trello template csv pdf,how-to,160,40,template
notion crm pdf,informational,90,45,download
social captions calendar google docs,transactional,70,40,download
content calendar download,how-to,220,35,download
payment terms free,informational,120,30,download
notion project tracker google docs,transactional,420,45,download
kanban board spreadsheet download,how-to,340,45,download
lessons learned download,informational,120,45,download
risk log google docs,transactional,120,30,download
revision policy free,how-to,120,25,download
follow up email free,informational,90,50,download
follow up email download,transactional,220,35,download
late fee clause free,how-to,220,40,download
social media calendar google docs,informational,160,50,download
retainer agreement download,transactional,340,50,download
airtable base export google docs,how-to,420,25,download
brief template google docs,informational,340,35,template
nda template free,transactional,160,30,template
brand guidelines google docs,how-to,220,50,download
notion project tracker free,informational,120,50,download
statement of work free,transactional,420,45,download
client onboarding checklist google docs,how-to,220,40,download
project plan google docs,informational,220,45,download
late fee clause download,transactional,120,25,download
scope of work free,how-to,70,30,download
social captions calendar download,informational,220,45,download
crm spreadsheet pdf,transactional,160,25,download
notion template freelance pdf,how-to,340,35,template
quote template free,informational,420,45,template
kanban board spreadsheet pdf,transactional,280,35,download
stripe invoice free,how-to,160,50,download
social media calendar pdf,informational,420,25,download
timesheet template google docs,transactional,70,35,template
paypal invoice download,how-to,160,30,download
late fee clause pdf,informational,420,50,download
airtable base export download,transactional,220,35,download
stripe invoice pdf,how-to,280,40,download
invoice template google docs,informational,220,40,template
brief template free,transactional,160,30,template
post mortem template download,how-to,280,40,template
handoff checklist google docs,informational,160,45,download
qa checklist download,transactional,160,50,download
content calendar pdf,how-to,120,25,download
late fee clause google docs,informational,70,25,download
google docs invoice free,transactional,280,30,download
content calendar google docs,how-to,220,40,download
qa checklist google docs,informational,340,25,download
lessons learned google docs,transactional,340,30,download
payment terms google docs,how-to,280,30,download
brand guidelines free,informational,220,50,download
proposal template pdf,transactional,420,25,template
client onboarding checklist download,how-to,120,45,download
social captions calendar pdf,informational,340,30,download
gantt spreadsheet free,transactional,70,50,download
trello template csv google docs,how-to,220,50,template
client onboarding checklist pdf,informational,90,40,download
proposal template free,transactional,90,50,template
editorial calendar free,how-to,90,35,download
revision policy pdf,informational,70,45,download
nda template download,transactional,280,25,template
payment terms pdf,how-to,70,25,download
client intake form free,informational,90,30,download
fixed fee invoice download,transactional,160,50,download
scope of work google docs,how-to,220,40,download
estimate template pdf,informational,280,40,template
content brief free,transactional,70,40,download
brand guidelines pdf,how-to,120,40,download
client onboarding checklist free,informational,280,45,download
airtable base export pdf,transactional,160,30,download
excel invoice pdf,how-to,340,25,download
fixed fee invoice free,informational,420,40,download
seo brief pdf,transactional,340,40,download
stripe invoice google docs,how-to,220,50,download
seo brief free,informational,220,40,download
style guide download,transactional,280,50,download
lessons learned free,how-to,220,50,download
contract template pdf,informational,420,35,template
post mortem template google docs,transactional,70,40,template
notion template freelance free,how-to,220,50,template
revision policy google docs,informational,220,45,download
risk log free,transactional,340,30,download
milestone billing download,how-to,160,50,download
cold email template google docs,informational,90,50,template
contract template download,transactional,160,40,template
revision policy download,how-to,420,25,download
monday template export pdf,informational,280,40,template
budget tracker pdf,transactional,340,25,download
hourly tracker free,how-to,160,25,download
estimate template download,informational,120,30,template
client intake form google docs,transactional,90,50,download
